days_in_crisis,energy_crisis_1970,oil_crisis_1973,early_1980s_recession,black_monday,dot_com_bubble,financial_crisis_2007,corona_2020
-44,-0.005297842663111285,-0.061011673859588944,0.12570638339548545,-0.006587206698488113,-0.002992000076310175,-0.08855188424257476,-0.07293677257055065
-43,0.00044928377367037253,-0.0661267633736553,0.12711285315638554,3.896668638214695e-05,0.005766687369147094,-0.08706268096632752,-0.06200466670173599
-42,0.00797837343828356,-0.06182914048507859,0.12640912338861632,-0.0032851330366096,0.01219811445066965,-0.0923022019244113,-0.0634960910119522
-41,-0.012510567190354371,-0.06617696657203509,0.10813610296582887,-0.0011842927004751536,0.013760072104262333,-0.08119931517385615,-0.06292019074432786
-40,-0.01484428947740224,-0.06874106913613764,0.10956722997835122,-0.00831124147553075,0.012543738481325617,-0.1006680746063946,-0.07408725134104632
-39,-0.009043825440279263,-0.06746065940502377,0.08085909600705943,-0.03342539672667233,0.010628696698595785,-0.09184234536181723,-0.0726847747726671
-38,-0.011369406835628149,-0.06363412879277874,0.06211143946412734,-0.028427668421356578,0.013406474476373553,-0.0914685135861163,-0.07046626902161757
-37,-0.009049221220778891,-0.062360243442460384,0.08447214327644403,-0.024918896491532005,0.006061248873015623,-0.0920670024018565,-0.06920502004425189
-36,-0.011374802616127777,-0.05653450889332168,0.060063581504007035,-0.02775658094102129,0.004835544092767208,-0.09371555991403346,-0.06852372831513343
-35,-0.00905461700127852,-0.05602817977939756,0.052115057658435604,-0.019650298572185365,0.009020374084048766,-0.10126557878908071,-0.06934194732508847
-34,-0.006739802186463639,-0.0688094461320925,0.07432083115954591,-0.007087763830662341,-0.0031575291986903897,-0.10848991338984126,-0.06169596315836534
-33,-0.006739802186463639,-0.06446938996665974,0.07822852119862278,-0.012565072124872012,-0.0042175998700685335,-0.1054573129349512,-0.06311892019861487
-32,-0.00327959457400695,-0.06370408384421078,0.07652985059300976,-0.016042357598792467,0.004886041586514178,-0.10849913803000821,-0.06430612551729475
-31,-0.00327959457400695,-0.055592796082598595,0.09537043030315473,-0.014921909419520762,0.0029565555314361447,-0.10546653757511815,-0.06251158363336429
-30,-0.001667434279211899,-0.06119076045918903,0.08843865357933123,-0.021454827116650144,0.032243121170802636,-0.10357474794212529,-0.0609564788328234
